X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8473510.29873742,5319566.41809293,2024/02/15 00:00:00+00,1045,1045,1800 ERIE BLVD E ,False,OFFN AGAINST FAMILY,43.0498750250001,-76.118838115,1
-8475558.72675877,5323003.45192533,2024/02/15 00:00:00+00,1130,1130,1500 GRANT BLVD   ,False,OFFN AGAINST FAMILY,43.0724333750001,-76.137239457,2
-8479836.19177348,5317750.71718368,2024/02/15 00:00:00+00,1340,1445,400 FITCH ST     ,False,SIMPLE ASSAULT,43.0379546500001,-76.1756645789999,3
-8470979.88259046,5319966.14701444,2024/04/08 00:00:00+00,2040,2040,300 AUDUBON PKWY   ,False,SIMPLE ASSAULT,43.0524990000001,-76.096107,4
-8476201.57121462,5320346.27976116,2024/02/15 00:00:00+00,1225,1501,700 JAMES ST     ,False,POSSESSION/USE DRUG,43.054994234,-76.143014227,5
-8477642.35400311,5321881.71958129,2024/04/09 00:00:00+00,253,253,300 W  KIRKPATRICK ST     ,False,ALL OTHER OFFENSES,43.065072,-76.155956999,6
-8478000.85586287,5317945.48535945,2024/02/15 00:00:00+00,1957,1957,100 SOUTH AVE    ,False,POSSESSION/USE DRUG,43.039233446,-76.159177476,7
-8475119.91367503,5320571.77620768,2024/02/15 00:00:00+00,2130,2130,300 OAK ST     ,False,SIMPLE ASSAULT,43.05647437,-76.133297532,8
-8476861.99702556,5317007.71748703,2024/02/15 00:00:00+00,1315,1315,100 MARTIN LUTHER KING      W ,False,SIMPLE ASSAULT,43.033076067,-76.1489469329999,9
-8477183.49517338,5319493.14196132,2024/04/09 00:00:00+00,1500,1500,100 WASHINGTON SQ     ,True,POSSESSION/USE DANGEROUS WEAPONS,43.0493940000001,-76.1518349999999,10
-8477231.08414438,5318644.53494196,2024/04/09 00:00:00+00,1419,1419,500 S  SALINA ST     ,False,ALL OTHER OFFENSES,43.043823,-76.152262499,11
-8473510.29873742,5319566.41809293,2024/02/16 00:00:00+00,44,44,1800 ERIE BLVD E ,False,SIMPLE ASSAULT,43.0498750250001,-76.118838115,12
-8476023.3848887,5315948.27685296,2024/02/16 00:00:00+00,148,148,500 GARFIELD AVE    ,False,SIMPLE ASSAULT,43.0261190420001,-76.141413552,13
-8477382.0499605,5318739.12727371,2024/02/20 00:00:00+00,1023,1100,100 DICKERSON ST     ,False,OFFN AGAINST FAMILY,43.044444012,-76.153618648,14
-8477382.0499605,5318739.12727371,2024/02/19 00:00:00+00,1020,1600,100 DICKERSON ST     ,False,OFFN AGAINST FAMILY,43.044444012,-76.153618648,15
-8477119.37514669,5315011.06515733,2024/04/09 00:00:00+00,1715,1733,400 E  BRIGHTON AVE    ,False,OFFN AGAINST FAMILY,43.0199640000001,-76.151259,16
-8479353.55732691,5318943.38936565,2024/04/09 00:00:00+00,0,1722,200 S  GEDDES ST     ,False,OFFN AGAINST FAMILY,43.0457850000001,-76.171329,17
